trace_id,event:concept:name@A,event:concept:name@B,event:concept:name@C,event:concept:name@D,event:concept:name@E,event:concept:name@F,event:concept:name@process end event,event:concept:name@process start event,event:event_name@A,event:event_name@B,event:event_name@C,event:event_name@D,event:event_name@E,event:event_name@F,event:event_name@process end event,event:event_name@process start event,event:@@index,event:start_weekday,event:trace_id,event:resource,event:duration,succession:concept:name@A#B,succession:concept:name@B#C,succession:concept:name@C#D,succession:concept:name@D#E,succession:concept:name@D#F,succession:concept:name@E#F,succession:concept:name@F#process end event,succession:concept:name@process start event#A,trace:cycle_time,adapted
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0,0,,0.0,1,1,1,1,0,1,1,1,180.0,False
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0,1,,0.0,1,1,1,1,0,1,1,1,220.0,False
2,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,85,0,10,,0.0,1,1,1,0,1,0,1,1,290.0,True
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,766,1,100,,0.0,1,1,1,1,0,1,1,1,240.0,False
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,774,1,101,,0.0,1,1,1,1,0,1,1,1,200.0,False
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,782,1,102,,0.0,1,1,1,1,0,1,1,1,220.0,False
6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,790,1,103,,0.0,1,1,1,1,0,1,1,1,240.0,False
7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,798,1,104,,0.0,1,1,1,1,0,1,1,1,220.0,False
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,806,1,105,,0.0,1,1,1,1,0,1,1,1,200.0,False
9,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,813,1,106,,0.0,1,1,1,0,1,0,1,1,240.0,False
10,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,820,2,107,,0.0,1,1,1,0,1,0,1,1,290.0,True
11,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,827,3,108,,0.0,1,1,1,0,1,0,1,1,1210.0,True
12,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,834,2,109,,0.0,1,1,1,0,1,0,1,1,2130.0,True
13,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,92,1,11,,0.0,1,1,1,0,1,0,1,1,1210.0,True
14,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,841,1,110,,0.0,1,1,1,0,1,0,1,1,290.0,True
15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,849,1,111,,0.0,1,1,1,1,0,1,1,1,240.0,False
16,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,856,2,112,,0.0,1,1,1,0,1,0,1,1,1190.0,True
17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,864,2,113,,0.0,1,1,1,1,0,1,1,1,220.0,False
18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,872,2,114,,0.0,1,1,1,1,0,1,1,1,240.0,False
19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,880,2,115,,0.0,1,1,1,1,0,1,1,1,220.0,False
20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,888,2,116,,0.0,1,1,1,1,0,1,1,1,200.0,False
21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,896,2,117,,0.0,1,1,1,1,0,1,1,1,240.0,False
