trace_id,event:concept:name@A,event:concept:name@B,event:concept:name@C,event:concept:name@D,event:concept:name@E,event:concept:name@F,event:concept:name@process end event,event:concept:name@process start event,event:event_name@A,event:event_name@B,event:event_name@C,event:event_name@D,event:event_name@E,event:event_name@F,event:event_name@process end event,event:event_name@process start event,event:@@index,event:start_weekday,event:trace_id,event:resource,event:duration,succession:concept:name@A#B,succession:concept:name@B#C,succession:concept:name@C#D,succession:concept:name@D#E,succession:concept:name@D#F,succession:concept:name@E#F,succession:concept:name@F#process end event,succession:concept:name@process start event#A,trace:cycle_time,adapted
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0,0,,0.0,1,1,1,1,0,1,1,1,181.07310545,False
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0,1,,0.0,1,1,1,1,0,1,1,1,221.03844581666667,False
2,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,85,0,10,,0.0,1,1,1,0,1,0,1,1,290.2276432333333,True
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,768,1,100,,0.0,1,1,1,1,0,1,1,1,240.05684208333332,False
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,776,1,101,,0.0,1,1,1,1,0,1,1,1,198.28049398333334,False
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,784,1,102,,0.0,1,1,1,1,0,1,1,1,225.45624401666666,False
6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,792,1,103,,0.0,1,1,1,1,0,1,1,1,229.93501346666667,False
7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,800,1,104,,0.0,1,1,1,1,0,1,1,1,228.04434566666666,False
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,808,1,105,,0.0,1,1,1,1,0,1,1,1,203.25947431666665,False
9,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,815,1,106,,0.0,1,1,1,0,1,0,1,1,249.27973618333334,False
10,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,822,2,107,,0.0,1,1,1,0,1,0,1,1,296.8858742,True
11,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,829,2,108,,0.0,1,1,1,0,1,0,1,1,1259.3062007333333,True
12,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,836,2,109,,0.0,1,1,1,0,1,0,1,1,2244.9735998333335,True
13,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,92,1,11,,0.0,1,1,1,0,1,0,1,1,1373.2198355,True
14,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,843,1,110,,0.0,1,1,1,0,1,0,1,1,291.22455405,True
15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,851,1,111,,0.0,1,1,1,1,0,1,1,1,233.4987114,False
16,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,858,2,112,,0.0,1,1,1,0,1,0,1,1,1132.0285119833334,True
17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,866,2,113,,0.0,1,1,1,1,0,1,1,1,216.07855865,False
18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,874,2,114,,0.0,1,1,1,1,0,1,1,1,234.51400126666667,False
19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,882,2,115,,0.0,1,1,1,1,0,1,1,1,217.7193272,False
20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,890,2,116,,0.0,1,1,1,1,0,1,1,1,195.11773835,False
21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,898,2,117,,0.0,1,1,1,1,0,1,1,1,237.15698986666666,False
22,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,905,2,118,,0.0,1,1,1,0,1,0,1,1,291.6115181833333,True
23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,913,2,119,,0.0,1,1,1,1,0,1,1,1,213.41462863333334,False
24,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,99,2,12,,0.0,1,1,1,0,1,0,1,1,183.5229633,False
25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,921,2,120,,0.0,1,1,1,1,0,1,1,1,211.60659855,False
26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,929,2,121,,0.0,1,1,1,1,0,1,1,1,293.21822288333334,True
27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,937,2,122,,0.0,1,1,1,1,0,1,1,1,1259.6468409333334,True
28,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,944,3,123,,0.0,1,1,1,0,1,0,1,1,2067.1471916666665,True
29,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,951,4,124,,0.0,1,1,1,0,1,0,1,1,1192.1102074166668,True
30,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,958,3,125,,0.0,1,1,1,0,1,0,1,1,239.7363846,False
31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,966,2,126,,0.0,1,1,1,1,0,1,1,1,215.16461468333333,False
32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,974,2,127,,0.0,1,1,1,1,0,1,1,1,1001.6986863,True
33,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,981,3,128,,0.0,1,1,1,0,1,0,1,1,234.00207946666666,False
34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,989,3,129,,0.0,1,1,1,1,0,1,1,1,242.01719266666666,False
35,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,106,1,13,,0.0,1,1,1,0,1,0,1,1,217.98250151666667,False
36,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,996,3,130,,0.0,1,1,1,0,1,0,1,1,168.3861799,False
37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1004,3,131,,0.0,1,1,1,1,0,1,1,1,231.43167546666666,False
38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1012,3,132,,0.0,1,1,1,1,0,1,1,1,293.5782780833333,True
39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1020,3,133,,0.0,1,1,1,1,0,1,1,1,244.38444195,False
40,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1027,3,134,,0.0,1,1,1,0,1,0,1,1,201.70385265,False
41,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1035,3,135,,0.0,1,1,1,1,0,1,1,1,233.84785783333334,False
42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1043,3,136,,0.0,1,1,1,1,0,1,1,1,240.81113095,False
43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1051,3,137,,0.0,1,1,1,1,0,1,1,1,1177.3307792333333,True
44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1059,3,138,,0.0,1,1,1,1,0,1,1,1,2220.8808186666665,True
45,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1066,4,139,,0.0,1,1,1,0,1,0,1,1,1346.0908641333333,True
46,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,113,0,14,,0.0,1,1,1,0,1,0,1,1,282.68279105,True
47,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1073,4,140,,0.0,1,1,1,0,1,0,1,1,227.20429591666667,False
48,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1080,4,141,,0.0,1,1,1,0,1,0,1,1,1188.7400497,True
49,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1087,3,142,,0.0,1,1,1,0,1,0,1,1,220.8848614,False
50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1095,3,143,,0.0,1,1,1,1,0,1,1,1,293.90744401666666,True
51,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1102,4,144,,0.0,1,1,1,0,1,0,1,1,234.88459815,False
52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1110,4,145,,0.0,1,1,1,1,0,1,1,1,198.57318761666667,False
53,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1117,4,146,,0.0,1,1,1,0,1,0,1,1,217.40169555,False
54,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1124,4,147,,0.0,1,1,1,0,1,0,1,1,244.9697761,False
55,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1132,4,148,,0.0,1,1,1,1,0,1,1,1,228.26907476666668,False
56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1140,4,149,,0.0,1,1,1,1,0,1,1,1,203.74278958333332,False
57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,121,0,15,,0.0,1,1,1,1,0,1,1,1,244.56541855,False
58,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1148,4,150,,0.0,1,1,1,1,0,1,1,1,301.8410633166667,True
59,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1156,4,151,,0.0,1,1,1,1,0,1,1,1,1150.4756714833334,True
60,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1164,4,152,,0.0,1,1,1,1,0,1,1,1,2211.287026666667,True
61,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1172,4,153,,0.0,1,1,1,1,0,1,1,1,1205.0005095333333,True
62,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1179,4,154,,0.0,1,1,1,0,1,0,1,1,296.3048881666667,True
63,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1186,0,155,,0.0,1,1,1,0,1,0,1,1,243.24822525,False
64,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1193,3,156,,0.0,1,1,1,0,1,0,1,1,1193.7865884333332,True
65,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1200,0,157,,0.0,1,1,1,0,1,0,1,1,224.0634557,False
66,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1207,4,158,,0.0,1,1,1,0,1,0,1,1,234.64376898333333,False
67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1215,4,159,,0.0,1,1,1,1,0,1,1,1,224.24726175,False
68,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,128,1,16,,0.0,1,1,1,0,1,0,1,1,203.16020428333334,False
69,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1222,0,160,,0.0,1,1,1,0,1,0,1,1,236.60137868333334,False
70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1230,0,161,,0.0,1,1,1,1,0,1,1,1,238.54425621666667,False
71,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1237,0,162,,0.0,1,1,1,0,1,0,1,1,217.63078428333333,False
72,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1245,0,163,,0.0,1,1,1,1,0,1,1,1,190.76213095,False
73,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1253,0,164,,0.0,1,1,1,1,0,1,1,1,214.5460641,False
74,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1261,0,165,,0.0,1,1,1,1,0,1,1,1,287.93701096666666,True
75,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1268,0,166,,0.0,1,1,1,0,1,0,1,1,4368.902860333334,True
76,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1276,0,167,,0.0,1,1,1,1,0,1,1,1,7875.5441617,True
77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1284,0,168,,0.0,1,1,1,1,0,1,1,1,3982.7483742333334,True
78,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1292,0,169,,0.0,1,1,1,1,0,1,1,1,245.6416515,False
79,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,136,1,17,,0.0,1,1,1,1,0,1,1,1,222.63545363333333,False
80,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1299,0,170,,0.0,1,1,1,0,1,0,1,1,4529.47151925,True
81,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1306,1,171,,0.0,1,1,1,0,1,0,1,1,244.59368151666666,False
82,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1313,2,172,,0.0,1,1,1,0,1,0,1,1,249.81615025,False
83,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1320,1,173,,0.0,1,1,1,0,1,0,1,1,218.04218008333334,False
84,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1328,0,174,,0.0,1,1,1,1,0,1,1,1,181.52740961666666,False
85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1336,0,175,,0.0,1,1,1,1,0,1,1,1,218.11034975,False
86,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1343,1,176,,0.0,1,1,1,0,1,0,1,1,295.61966291666664,True
87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1351,1,177,,0.0,1,1,1,1,0,1,1,1,246.70669008333334,False
88,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1358,1,178,,0.0,1,1,1,0,1,0,1,1,200.00671386666667,False
89,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1366,1,179,,0.0,1,1,1,1,0,1,1,1,219.3845119,False
90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,1,18,,0.0,1,1,1,1,0,1,1,1,281.9679387333333,True
91,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1374,1,180,,0.0,1,1,1,1,0,1,1,1,1225.2158506666667,True
92,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1382,1,181,,0.0,1,1,1,1,0,1,1,1,2149.29610735,True
93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1390,1,182,,0.0,1,1,1,1,0,1,1,1,1409.3940489666666,True
94,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1398,1,183,,0.0,1,1,1,1,0,1,1,1,295.9742987,True
95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1406,1,184,,0.0,1,1,1,1,0,1,1,1,215.08035548333334,False
96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1414,1,185,,0.0,1,1,1,1,0,1,1,1,1243.1301683833333,True
97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1422,1,186,,0.0,1,1,1,1,0,1,1,1,220.17011706666668,False
98,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1429,2,187,,0.0,1,1,1,0,1,0,1,1,292.82847456666667,True
99,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1436,3,188,,0.0,1,1,1,0,1,0,1,1,245.44684376666666,False
100,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1443,2,189,,0.0,1,1,1,0,1,0,1,1,189.14185901666667,False
101,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,152,1,19,,0.0,1,1,1,1,0,1,1,1,222.3449921,False
102,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1450,1,190,,0.0,1,1,1,0,1,0,1,1,240.79897895,False
103,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1458,1,191,,0.0,1,1,1,1,0,1,1,1,229.18987501666666,False
