trace_id,event:event_name@A,event:event_name@B,event:event_name@C,event:event_name@D,event:event_name@E,event:event_name@F,event:event_name@I,event:event_name@process end event,event:event_name@process start event,event:concept:name@A,event:concept:name@B,event:concept:name@C,event:concept:name@D,event:concept:name@E,event:concept:name@F,event:concept:name@I,event:concept:name@process end event,event:concept:name@process start event,event:adaptation_action@insert,event:adaptation_action@no-action,event:adaptation_action@skip,event:@@index,event:@@case_index,event:start_weekday,event:resource,event:duration,event:trace_id,succession:concept:name@A#B,succession:concept:name@B#C,succession:concept:name@C#D,succession:concept:name@D#E,succession:concept:name@D#F,succession:concept:name@E#F,succession:concept:name@F#process end event,succession:concept:name@process end event#I,succession:concept:name@process start event#A,trace:cycle_time,adaptation_action
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,8,0,0,Inserted_Activity_resource,30.0,0,1,1,1,1,0,1,1,1,1,210.0,insert
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,16,1,0,,0.0,1,1,1,1,1,0,1,1,0,1,220.0,no-action
2,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,23,2,0,,0.0,10,1,1,1,0,1,0,1,0,1,260.0,skip
3,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,31,3,1,,0.0,100,1,1,1,1,0,1,1,0,1,240.0,no-action
4,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,39,4,1,,0.0,101,1,1,1,1,0,1,1,0,1,200.0,no-action
5,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,47,5,1,,0.0,102,1,1,1,1,0,1,1,0,1,220.0,no-action
6,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,55,6,1,,0.0,103,1,1,1,1,0,1,1,0,1,240.0,no-action
7,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,63,7,1,,0.0,104,1,1,1,1,0,1,1,0,1,220.0,no-action
8,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,71,8,1,,0.0,105,1,1,1,1,0,1,1,0,1,200.0,no-action
9,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,78,9,1,,0.0,106,1,1,1,0,1,0,1,0,1,240.0,no-action
10,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,85,10,2,,0.0,107,1,1,1,0,1,0,1,0,1,260.0,skip
11,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,92,11,2,,0.0,108,1,1,1,0,1,0,1,0,1,1180.0,skip
