trace_id,event:event_name@A,event:event_name@B,event:event_name@C,event:event_name@D,event:event_name@E,event:event_name@F,event:event_name@I,event:event_name@process end event,event:event_name@process start event,event:concept:name@A,event:concept:name@B,event:concept:name@C,event:concept:name@D,event:concept:name@E,event:concept:name@F,event:concept:name@I,event:concept:name@process end event,event:concept:name@process start event,event:adaptation_action@insert,event:adaptation_action@no-action,event:adaptation_action@skip,event:@@index,event:@@case_index,event:start_weekday,event:resource,event:duration,event:trace_id,succession:concept:name@A#B,succession:concept:name@B#C,succession:concept:name@C#D,succession:concept:name@D#E,succession:concept:name@D#F,succession:concept:name@E#F,succession:concept:name@F#process end event,succession:concept:name@process end event#I,succession:concept:name@process start event#A,trace:cycle_time,adaptation_action
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,8,0,0,Inserted_Activity_resource,30.0,0,1,1,1,1,0,1,1,1,1,211.07310545,insert
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,16,1,0,,0.0,1,1,1,1,1,0,1,1,0,1,221.03844581666667,no-action
2,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,23,2,0,,0.0,10,1,1,1,0,1,0,1,0,1,260.2662503,skip
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,32,3,1,Inserted_Activity_resource,30.0,100,1,1,1,1,0,1,1,1,1,240.05684208333332,no-action
4,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,40,4,1,,0.0,101,1,1,1,1,0,1,1,0,1,198.28049398333334,no-action
5,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,48,5,1,,0.0,102,1,1,1,1,0,1,1,0,1,225.45624401666666,no-action
6,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,56,6,1,,0.0,103,1,1,1,1,0,1,1,0,1,229.93501346666667,no-action
7,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,64,7,1,,0.0,104,1,1,1,1,0,1,1,0,1,228.04434566666666,no-action
8,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,72,8,1,,0.0,105,1,1,1,1,0,1,1,0,1,203.25947431666665,no-action
9,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,79,9,1,,0.0,106,1,1,1,0,1,0,1,0,1,249.27973618333334,no-action
10,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,86,10,2,,0.0,107,1,1,1,0,1,0,1,0,1,267.15835143333334,skip
11,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,93,11,2,,0.0,108,1,1,1,0,1,0,1,0,1,1229.4386096666667,skip
12,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,100,12,2,,0.0,109,1,1,1,0,1,0,1,0,1,1196.8632374833333,skip
13,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,107,13,1,,0.0,11,1,1,1,0,1,0,1,0,1,1344.3890280666667,skip
14,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,114,14,1,,0.0,110,1,1,1,0,1,0,1,0,1,261.8464804,skip
15,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,122,15,1,,0.0,111,1,1,1,1,0,1,1,0,1,233.4987114,no-action
16,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,129,16,2,,0.0,112,1,1,1,0,1,0,1,0,1,1100.7594957333333,skip
17,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,137,17,2,,0.0,113,1,1,1,1,0,1,1,0,1,216.07855865,no-action
18,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,145,18,2,,0.0,114,1,1,1,1,0,1,1,0,1,234.51400126666667,no-action
19,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,153,19,2,,0.0,115,1,1,1,1,0,1,1,0,1,217.7193272,no-action
20,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,161,20,2,,0.0,116,1,1,1,1,0,1,1,0,1,195.11773835,no-action
21,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,169,21,2,,0.0,117,1,1,1,1,0,1,1,0,1,237.15698986666666,no-action
22,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,176,22,2,,0.0,118,1,1,1,0,1,0,1,0,1,261.77631756666665,skip
23,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,184,23,2,,0.0,119,1,1,1,1,0,1,1,0,1,213.41462863333334,no-action
24,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,191,24,1,,0.0,12,1,1,1,0,1,0,1,0,1,213.5229633,insert
25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,200,25,2,Inserted_Activity_resource,30.0,120,1,1,1,1,0,1,1,1,1,211.60659855,no-action
26,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,208,26,2,,0.0,121,1,1,1,1,0,1,1,0,1,262.5346277333333,skip
27,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,216,27,2,,0.0,122,1,1,1,1,0,1,1,0,1,1225.9687522,skip
28,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,223,28,3,,0.0,123,1,1,1,0,1,0,1,0,1,1117.4235539833332,skip
29,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,230,29,3,,0.0,124,1,1,1,0,1,0,1,0,1,1162.1512955333333,skip
30,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,237,30,3,,0.0,125,1,1,1,0,1,0,1,0,1,239.7363846,no-action
31,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,245,31,2,,0.0,126,1,1,1,1,0,1,1,0,1,215.16461468333333,no-action
32,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,253,32,2,,0.0,127,1,1,1,1,0,1,1,0,1,973.3364601666667,skip
33,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,260,33,3,,0.0,128,1,1,1,0,1,0,1,0,1,234.00207946666666,no-action
34,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,268,34,3,,0.0,129,1,1,1,1,0,1,1,0,1,242.01719266666666,no-action
35,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,275,35,1,,0.0,13,1,1,1,0,1,0,1,0,1,217.98250151666667,no-action
36,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,282,36,3,,0.0,130,1,1,1,0,1,0,1,0,1,198.3861799,insert
37,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,290,37,3,,0.0,131,1,1,1,1,0,1,1,0,1,231.43167546666666,no-action
38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,299,38,3,Inserted_Activity_resource,30.0,132,1,1,1,1,0,1,1,1,1,263.73870795,skip
39,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,307,39,3,,0.0,133,1,1,1,1,0,1,1,0,1,244.38444195,no-action
40,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,314,40,3,,0.0,134,1,1,1,0,1,0,1,0,1,201.70385265,no-action
41,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,322,41,3,,0.0,135,1,1,1,1,0,1,1,0,1,233.84785783333334,no-action
42,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,330,42,3,,0.0,136,1,1,1,1,0,1,1,0,1,240.81113095,no-action
43,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,338,43,3,,0.0,137,1,1,1,1,0,1,1,0,1,1150.1917988833334,skip
